Fecha,Tienda,Región,Venta
1/15/2021,Oloo,East,544249
10/5/2020,Roomm,North,216576
7/1/2021,Fivebridge,West,662114
12/30/2020,Shufflester,North,105088
7/21/2021,Mynte,North,214716
12/25/2021,Mydo,South,919399
4/21/2020,Jatri,West,790085
1/3/2020,Yata,North,626142
9/22/2020,Wikizz,Central,642335
1/26/2020,BlogXS,East,100093
12/25/2021,Skaboo,East,131685
11/5/2021,Voomm,North,636097
1/6/2021,Realcube,West,409174
9/4/2020,Gabcube,Central,439513
5/15/2020,Fivebridge,Central,229628
10/20/2021,Meetz,East,798876
2/4/2021,Dabfeed,West,175504
9/17/2021,Jaxspan,South,320686
10/9/2021,Jabberstorm,North,276728
3/9/2021,Trupe,East,159047
8/9/2020,Yabox,Central,149817
8/24/2020,Thoughtsphere,West,369228
10/26/2020,Feedfire,West,258337
4/24/2021,Twitterlist,East,184061
3/13/2020,Gabvine,Central,106075
8/13/2021,Flashspan,West,939848
4/24/2021,Skinte,South,464656
11/2/2020,Leexo,North,455704
1/23/2020,Cogilith,South,481490
2/19/2020,Topdrive,East,461235
10/15/2020,Meembee,Central,770782
12/23/2020,Eire,South,310698
6/23/2021,Brainlounge,Central,665764
7/19/2021,Kwinu,North,610466
9/11/2021,Linktype,West,409359
8/10/2020,Eazzy,Central,257595
9/26/2021,Dabtype,East,215874
10/5/2021,Zava,North,213069
7/5/2021,Buzzbean,East,255214
6/30/2020,Podcat,West,153063
11/25/2020,Roomm,South,470478
5/27/2020,Twitterwire,South,375402
12/27/2021,Lazz,South,794972
3/17/2020,Realmix,South,578685
3/1/2020,Cogibox,Central,107893
5/2/2021,Browseblab,South,405075
1/8/2021,Demivee,South,413698
6/22/2020,Podcat,Central,585461
12/6/2020,Zoomzone,West,644698
5/19/2021,Demivee,North,881942
5/8/2021,Quimba,East,710592
5/19/2021,Livetube,East,712102
2/25/2021,Eayo,West,765725
10/21/2020,LiveZ,West,285285
5/23/2021,Rhycero,North,861235
6/8/2021,Yakitri,West,186420
10/4/2021,Skipstorm,West,177484
8/25/2020,Tekfly,East,922825
2/20/2020,Divavu,East,985153
3/27/2020,Chatterpoint,South,282133
7/7/2020,Vitz,West,826150
9/17/2020,Eayo,Central,965538
9/13/2021,Dynazzy,Central,186655
12/25/2021,Wordpedia,North,372917
2/26/2020,Gabtype,East,890306
5/22/2020,Eire,West,539990
6/18/2021,Fiveclub,South,773466
10/18/2020,Devbug,West,624472
3/22/2021,Camimbo,South,258650
12/18/2020,Meevee,North,807372
5/8/2021,Gigabox,North,171731
3/3/2020,Quinu,South,797164
7/18/2021,Divape,South,253788
8/1/2020,Ntag,Central,344005
6/26/2020,Jamia,Central,383023
12/6/2020,Meejo,West,609538
9/5/2020,Oba,North,582734
5/8/2021,BlogXS,North,844325
2/21/2021,Blogtags,West,731122
1/9/2021,Eazzy,North,195174
2/18/2020,Centizu,East,254560
6/4/2020,Katz,East,804147
4/20/2020,Tanoodle,Central,488955
8/1/2020,Eabox,Central,327604
7/28/2020,Jaxbean,Central,795886
2/8/2021,Gigabox,North,727535
6/5/2020,Babbleblab,Central,699186
2/4/2020,Trudoo,North,903102
2/17/2020,Edgepulse,East,585871
3/8/2021,Feednation,North,636810
5/26/2020,Katz,West,220130
5/11/2021,Blogtag,East,572603
6/28/2021,Quimba,South,460160
5/25/2020,Kayveo,South,357363
5/25/2020,Dynabox,East,497788
9/17/2020,Skipstorm,East,879702
2/5/2021,Meeveo,South,822540
5/15/2020,Bubblemix,North,625212
8/2/2021,Meevee,West,650901
10/10/2021,Jaloo,West,716726
8/5/2021,Oyondu,North,217765
12/25/2021,Edgeclub,North,945230
6/9/2020,Voomm,West,843391
11/28/2020,Fatz,North,951801
3/16/2020,Camido,South,387694
9/12/2020,Divanoodle,East,804840
6/3/2021,Babblestorm,West,911624
9/28/2020,Eire,West,976673
12/8/2020,Shufflebeat,East,235046
7/4/2020,Eare,Central,397739
1/2/2020,Skyba,Central,636107
9/13/2021,Avamm,Central,988907
1/14/2020,Shuffletag,East,381342
2/22/2021,Oodoo,Central,845460
7/11/2021,Ntags,South,605138
2/25/2021,Realbridge,Central,580973
9/30/2021,Wikido,North,624570
2/20/2021,Voolia,North,307622
8/20/2020,Roombo,West,394003
4/3/2021,Zazio,Central,121632
9/12/2020,Kamba,East,951853
4/8/2021,Midel,South,419308
8/24/2021,Brainbox,Central,645626
3/7/2020,Vidoo,East,893846
2/17/2021,Agivu,Central,227599
10/9/2020,Tekfly,North,108448
3/12/2021,Realmix,South,242658
2/8/2021,Jetpulse,Central,492286
6/20/2020,Brightbean,Central,241757
5/31/2021,Jayo,South,602660
12/14/2021,Leenti,Central,170753
12/1/2020,Wikizz,East,816851
9/14/2020,Trudeo,Central,177400
7/8/2020,Bubblemix,West,514790
10/28/2020,Thoughtmix,Central,783480
10/18/2021,Oloo,North,664167
3/31/2021,Yakidoo,West,954308
10/5/2021,Shufflebeat,South,617547
7/7/2020,Topiclounge,South,494452
4/2/2021,Brightdog,West,862125
2/4/2021,Innotype,West,864824
6/22/2021,Cogilith,West,364688
3/8/2021,Trilith,South,529520
6/9/2021,Thoughtblab,West,698765
10/21/2020,Ozu,South,736105
6/1/2021,Mynte,Central,840155
12/8/2020,Demivee,Central,953054
1/30/2021,Yabox,East,511264
4/17/2020,Vimbo,Central,852650
2/27/2021,Zoomzone,Central,488698
7/2/2021,Edgewire,East,290789
1/24/2020,Rooxo,Central,606888
3/23/2020,Flipstorm,West,748363
10/16/2021,Yakidoo,South,207851
1/3/2021,Zoombox,South,377445
10/9/2021,Browsetype,North,232985
2/6/2021,Eidel,West,339533
1/9/2021,Pixoboo,South,595717
5/6/2021,Kazu,West,599982
3/11/2020,Digitube,North,242617
10/9/2021,Yotz,South,129207
9/24/2020,Geba,North,405716
7/14/2020,Reallinks,North,719625
11/2/2021,Digitube,East,991585
5/26/2020,Thoughtmix,West,223959
5/1/2021,Bluejam,Central,781263
9/18/2021,Voonyx,West,916569
8/28/2021,Demivee,Central,550440
12/7/2020,Yadel,West,946039
9/7/2021,Zoomzone,East,726156
6/27/2021,Roombo,South,214694
9/24/2021,Centizu,East,283803
5/17/2020,Gabtune,North,486639
8/1/2020,Brightbean,North,614692
12/23/2021,Babbleset,East,585729
10/1/2020,Zooxo,South,231153
8/25/2020,Realblab,North,761740
6/2/2020,Eamia,South,160524
2/18/2021,Skyba,Central,159283
10/6/2020,Trudeo,East,235327
8/8/2021,Blognation,South,464492
8/20/2021,Aimbo,South,533309
8/7/2021,Kwilith,North,321819
4/20/2021,Ainyx,South,721783
8/29/2021,Oba,North,469240
4/22/2020,Topdrive,South,558782
11/10/2021,Twiyo,North,461188
9/15/2021,Skiba,Central,308084
11/22/2021,Devpoint,West,508027
3/30/2020,Gevee,West,228573
4/1/2021,Jabbercube,North,456562
5/29/2021,Rooxo,West,956594
9/21/2021,Jatri,North,789057
11/15/2021,Voomm,West,683113
1/9/2021,Eadel,East,600123
9/26/2021,Roombo,East,963178
8/11/2020,Quatz,Central,442884
11/16/2021,Tanoodle,West,270040
2/15/2020,Jabberbean,Central,849535
3/26/2020,Dynabox,West,881967
9/28/2020,Brainbox,East,894939
5/13/2021,Thoughtworks,Central,619942
4/5/2020,Zazio,West,713153
2/12/2020,Plambee,South,109286
12/2/2020,Jazzy,North,537831
4/9/2021,Brainbox,West,154009
6/28/2021,Avamm,Central,661780
4/28/2020,Photobug,North,611993
12/31/2020,Trilith,West,278837
12/24/2021,Kwinu,Central,741552
11/3/2020,Brightdog,South,554372
10/11/2020,Browseblab,South,412333
12/24/2021,Kimia,North,374296
8/25/2021,Ailane,North,656652
9/2/2021,Ntags,Central,171281
8/2/2021,Youspan,North,419693
3/9/2020,Twitterwire,Central,690415
3/12/2021,Linklinks,Central,742731
8/31/2021,Oyope,North,122338
2/14/2021,Eimbee,Central,757263
8/26/2020,Dabfeed,South,933152
2/2/2021,Skivee,South,356901
3/21/2020,Skajo,South,600605
11/10/2021,Feedfish,South,846024
10/29/2021,Kwideo,North,505387
9/9/2021,Ooba,West,700326
11/13/2020,Cogilith,East,450238
8/11/2021,Devpulse,South,398807
7/31/2020,Skynoodle,South,525414
6/26/2020,Cogidoo,West,455708
10/5/2021,Buzzshare,South,786966
6/7/2021,Flashpoint,North,350946
11/5/2020,Viva,West,824567
8/16/2021,Jabbercube,East,305842
5/16/2020,Skipfire,North,844793
8/15/2021,Bluejam,West,182561
1/1/2020,Thoughtstorm,West,270711
10/23/2020,Cogidoo,Central,655355
7/2/2020,Quimba,West,793578
10/6/2021,Kimia,South,723823
11/1/2021,Meedoo,South,612074
11/18/2020,Layo,South,712052
2/22/2021,Linktype,Central,736099
9/29/2020,Wikido,East,307025
4/8/2021,Yodo,South,141022
5/28/2020,Brainsphere,East,804191
8/8/2020,Zoombeat,East,667731
4/2/2021,Youopia,West,909072
2/23/2020,Ozu,West,280876
3/24/2020,Wordpedia,Central,348370
5/29/2021,Jaxspan,West,149865
12/8/2020,Voolith,West,572436
11/27/2021,Feedfire,West,341994
9/26/2021,Brainlounge,West,558090
5/18/2021,Jaloo,East,968211
6/12/2020,Divanoodle,West,855863
1/13/2021,Thoughtsphere,East,800672
8/6/2021,Meevee,East,768291
2/26/2020,Fiveclub,North,585916
3/2/2020,Skidoo,West,588834
6/20/2021,Livefish,South,188925
10/24/2020,Oozz,East,545131
3/19/2020,Gigabox,West,790674
1/5/2020,Flipbug,East,313329
1/8/2020,Trupe,East,897336
10/19/2021,Aibox,West,107836
1/2/2020,Skinix,West,580624
10/17/2020,Linkbuzz,West,797049
6/17/2021,Babbleopia,East,598547
5/29/2021,Oozz,East,344029
3/9/2020,Livetube,South,570082
9/28/2021,Vipe,East,126199
9/10/2020,Yakitri,West,159646
3/19/2021,Jatri,West,788424
11/27/2021,Voomm,North,796953
7/4/2021,Babblestorm,South,469877
2/9/2021,Skimia,West,716536
2/5/2020,Centidel,East,881344
12/15/2020,Divavu,West,479592
7/21/2021,Trunyx,Central,757114
10/15/2021,Mynte,South,347562
3/22/2021,Thoughtbridge,South,120022
6/20/2021,Katz,East,203614
10/13/2020,Yakijo,Central,569882
3/25/2021,Jamia,West,993004
6/11/2021,Myworks,North,187755
2/18/2021,Jabbercube,East,453156
4/7/2020,Jabbersphere,West,590978
11/26/2021,Oloo,North,479507
7/22/2020,Linklinks,Central,132708
9/11/2021,Trunyx,West,820498
9/8/2020,Skiptube,West,300987
10/27/2020,Linktype,West,943801
3/20/2020,Fliptune,West,837018
2/26/2020,Yabox,West,738212
4/23/2020,Minyx,South,488225
5/28/2020,Skinix,North,573401
7/10/2020,Divanoodle,Central,606423
7/6/2021,Riffpath,North,758430
1/22/2020,Dynabox,Central,528881
5/30/2021,Feedmix,West,312358
1/2/2020,Jaxworks,East,791492
6/28/2020,Gabtype,Central,650638
11/20/2020,Fliptune,East,327991
5/31/2021,Meembee,East,281448
3/20/2020,Realbridge,South,103202
12/3/2020,Fivespan,North,817420
1/28/2021,Babblestorm,North,972337
5/22/2021,Trupe,North,804266
11/18/2020,Feedfish,South,569512
3/24/2020,Wikizz,North,177931
4/8/2021,Innotype,Central,455669
10/29/2020,Oyondu,South,850428
12/1/2021,Riffpedia,West,330378
6/9/2021,Tanoodle,South,671769
10/4/2021,Nlounge,South,578939
2/7/2020,Omba,West,878216
10/26/2020,Youfeed,South,572986
6/19/2020,Skivee,North,395571
11/15/2020,Zoomzone,West,446933
12/8/2021,Gigaclub,North,831249
2/6/2021,Avaveo,Central,622383
4/17/2021,Chatterbridge,South,237932
4/11/2020,Nlounge,South,927428
8/4/2020,Trudoo,West,996550
12/20/2020,Kaymbo,South,537918
10/30/2021,Yombu,North,157464
2/13/2021,Browsetype,East,184546
11/24/2020,Twitternation,Central,209139
4/24/2020,Edgetag,Central,608803
1/15/2021,Yodo,West,113600
7/2/2020,Skipfire,North,226651
8/15/2020,Rhyzio,East,355717
3/6/2021,Meezzy,South,657859
7/1/2020,Meevee,South,483553
5/20/2020,Livetube,South,926452
10/26/2020,Jetpulse,North,900408
7/31/2020,Mybuzz,South,761580
8/2/2020,Fanoodle,North,689582
3/13/2021,Mydo,West,441734
7/13/2020,Oloo,Central,190304
7/22/2020,Reallinks,North,312367
12/4/2020,Devpulse,North,118054
10/1/2021,Geba,Central,229128
6/14/2021,Skipfire,Central,931484
11/29/2021,Zoombox,South,765902
4/18/2021,Demivee,North,359205
8/4/2020,Youtags,North,944067
3/14/2021,Youtags,Central,236366
12/2/2021,Kwimbee,Central,172445
8/12/2021,Skidoo,Central,208324
9/30/2021,Jatri,North,643965
5/8/2021,Dynazzy,Central,478490
9/21/2020,Feedfire,West,241054
2/14/2021,Vidoo,East,540735
1/16/2020,Divape,Central,499442
7/4/2020,Photobean,North,305894
7/7/2020,Mynte,West,852408
12/25/2021,Voonix,West,895213
9/11/2021,Topdrive,Central,718448
11/28/2020,Devpulse,South,754551
11/16/2020,Camimbo,South,755087
1/5/2020,Realcube,South,462570
8/18/2020,Skippad,West,585782
5/3/2021,Devshare,West,803698
11/26/2020,Brainbox,North,424186
9/28/2020,Zooxo,South,189257
3/17/2020,Mymm,Central,543185
10/4/2020,Dynabox,South,371622
4/7/2020,Fiveclub,Central,432012
1/27/2021,Einti,East,485779
3/13/2021,Dynabox,South,108591
1/11/2020,Oozz,North,593082
11/16/2020,Buzzster,West,342420
3/9/2021,Wikivu,East,900858
5/16/2021,Topiczoom,Central,498575
12/28/2021,Youbridge,South,539877
7/13/2021,Mynte,Central,811899
6/21/2020,Fivebridge,East,703659
5/28/2020,Browseblab,South,528297
10/3/2020,Jabbercube,West,740600
7/10/2021,Camido,West,492702
3/19/2021,Mybuzz,West,936247
11/28/2020,Livetube,West,969784
11/7/2020,Eazzy,Central,384911
12/16/2021,Trilia,West,872511
12/29/2020,Browsebug,South,687057
10/4/2020,Tambee,West,252861
12/9/2021,Jabberbean,East,966519
1/28/2020,Buzzbean,East,638357
10/9/2020,Yombu,North,701274
6/12/2021,Thoughtmix,South,614109
9/8/2020,Youspan,East,233932
8/19/2020,Realcube,North,238137
9/11/2021,Agivu,East,480537
6/3/2020,Kwimbee,Central,937455
3/17/2020,Browsecat,South,831361
2/14/2020,Skiptube,Central,804059
1/15/2021,Devbug,North,766787
11/23/2021,Twitterbeat,West,150928
3/26/2021,Twitterbridge,Central,759940
10/19/2021,DabZ,South,275442
9/22/2020,Oyonder,Central,394803
1/15/2020,LiveZ,North,995889
4/2/2021,Quinu,North,120292
4/6/2021,Avaveo,North,537266
11/15/2021,Meevee,Central,910151
5/21/2021,Omba,Central,190418
10/26/2021,Blogtag,East,875931
7/14/2020,Topiclounge,West,449375
10/21/2020,Mycat,East,293590
6/15/2020,Nlounge,North,896594
2/12/2020,Demizz,East,302000
9/29/2021,Youfeed,East,662374
5/20/2021,Jaxnation,East,174975
8/8/2021,Minyx,East,124136
3/28/2020,Linklinks,North,703447
9/11/2020,Flashspan,West,696712
2/23/2021,Bluejam,East,625864
3/19/2020,Geba,North,729231
8/1/2020,Leexo,North,514665
12/3/2020,Kimia,Central,712817
8/15/2021,Jabbertype,North,462642
9/9/2021,Twitterbridge,East,437621
7/5/2020,Quatz,Central,748008
11/26/2021,Lajo,North,535244
5/15/2021,Twitterbeat,West,411372
10/18/2021,Browsetype,West,817704
6/16/2020,Edgepulse,East,446851
8/13/2020,Eare,North,637347
7/27/2020,Eabox,Central,753823
12/29/2021,Meeveo,Central,383720
11/2/2020,Jayo,South,577910
12/4/2021,Zoomdog,East,940127
6/2/2020,Rhyloo,South,854131
4/26/2021,Lazz,West,367779
4/26/2021,LiveZ,North,748610
12/18/2020,Divavu,West,608391
7/26/2020,Fivechat,Central,391002
5/26/2020,Demivee,South,900776
12/4/2020,Skalith,Central,482369
7/13/2020,Jabbertype,North,668190
5/14/2021,Cogidoo,West,725683
8/6/2021,Jaloo,Central,884114
10/13/2020,Demivee,East,607298
9/19/2021,Zoonoodle,East,183275
9/1/2021,Babblestorm,West,674026
8/8/2021,Yakijo,West,637369
2/23/2021,Photobug,South,117770
3/19/2021,Skidoo,West,860884
12/9/2021,Bubblemix,West,668503
6/9/2021,Innojam,East,399853
12/31/2020,Agimba,East,813950
9/9/2021,Fanoodle,South,778979
3/17/2020,Meevee,West,641497
7/15/2021,Wikido,North,497478
7/11/2020,Flipbug,Central,869587
11/23/2021,Photobug,Central,872712
1/25/2020,Shuffledrive,Central,303541
2/17/2021,Eamia,Central,260873
12/25/2021,Quatz,East,545340
6/27/2020,Roomm,Central,214659
11/26/2020,Jabberstorm,South,782957
11/8/2020,Quatz,East,362719
10/16/2020,Devpoint,Central,184514
5/19/2020,Devify,South,450001
7/14/2021,Kwimbee,West,689840
8/9/2021,Nlounge,North,598090
6/14/2020,Leexo,North,403718
3/6/2021,Ntags,East,840593
5/29/2020,Kayveo,East,822044
3/7/2021,Meezzy,West,398073
12/12/2021,Vinder,Central,846698
9/6/2021,Myworks,West,409555
4/28/2021,Topicstorm,Central,752230
11/12/2020,Quatz,South,301919
1/12/2020,Thoughtworks,West,820518
4/9/2020,Oodoo,North,744081
8/13/2021,Feednation,South,387672
11/1/2021,Tagpad,North,847104
1/18/2020,Camido,East,973847
3/18/2020,Gigashots,North,963752
12/3/2020,Babbleopia,East,881473
11/24/2020,Viva,West,925960
3/14/2021,Meejo,South,399116
12/1/2020,Skiptube,East,678399
6/9/2020,Innojam,West,897587
3/4/2021,Avaveo,North,740360
7/20/2020,Zava,Central,166106
4/15/2020,Thoughtworks,West,711143
8/15/2021,Flashpoint,Central,937648
8/16/2020,Skimia,East,163231
12/3/2020,Twitterbridge,Central,635557
9/7/2020,Dynazzy,East,780546
1/20/2021,Devpoint,South,942087
6/12/2021,Feedmix,Central,489397
7/28/2021,Geba,South,190317
10/3/2021,Zoozzy,South,353479
1/15/2021,Mybuzz,Central,632123
9/30/2020,Photolist,South,735437
4/2/2021,Oyoloo,East,642764
4/6/2021,Skimia,East,820120
8/14/2020,Fivebridge,South,839785
10/20/2020,Eabox,West,379435
2/13/2020,Jatri,West,292476
11/9/2021,Dazzlesphere,North,443231
4/26/2020,Divavu,North,182412
4/24/2020,Edgeblab,South,349847
5/30/2021,Abatz,North,476821
9/27/2020,Agivu,Central,157351
10/18/2021,Eimbee,West,220563
12/13/2020,Blogtag,West,217329
1/22/2020,Oba,North,191907
7/14/2021,Innojam,East,265464
2/6/2021,Brainbox,West,511465
7/15/2020,Realpoint,West,233209
12/7/2020,Wikizz,South,412801
4/21/2020,Quimba,West,752414
10/19/2020,Jabbertype,North,626853
12/6/2021,Rhynoodle,West,410290
3/13/2021,Ailane,West,138978
10/9/2021,Eayo,Central,203801
2/20/2021,Pixope,South,159007
3/14/2021,Oyoba,South,142597
7/24/2021,Quatz,East,633716
9/7/2020,Agimba,Central,332534
9/13/2021,Oyope,East,578480
6/17/2021,Flipopia,South,791617
7/12/2021,Kwimbee,South,975508
4/14/2020,Skimia,West,140363
12/22/2020,Photobean,West,216017
8/15/2021,Yodel,South,760451
9/21/2021,Einti,South,340378
12/4/2021,Twitterlist,West,688715
3/23/2020,Thoughtmix,North,757750
6/3/2021,Fliptune,North,796776
7/6/2021,Brainlounge,North,204013
11/28/2021,Trilia,East,539182
8/31/2021,Devify,East,522049
8/16/2020,Mynte,South,226650
12/30/2021,Thoughtstorm,West,549172
6/24/2020,Myworks,Central,880292
11/11/2021,Oyoyo,South,191922
1/26/2020,Skidoo,West,479121
7/13/2021,LiveZ,Central,789408
9/15/2020,Wordware,East,422711
3/14/2020,Voolia,North,913073
